date,price_open,price_high,price_low,price_close,amount
36861,2073.09,2082.03,2071.5,2081.84,8622.49
36864,2084.48,2092.32,2077.81,2092.14,9442.14
36865,2094.99,2097.29,2085.8,2091.67,8833.57
36866,2093,2095.44,2070.35,2075.63,10794.54
36867,2072.53,2078.14,2060.73,2075.04,10197.66
36868,2074.57,2083.27,2069.66,2073.16,10305.75
36871,2072.28,2072.48,2039,2046.08,9100.69
36872,2045.17,2059.05,2037.9,2059.05,9456.61
36873,2057.38,2059.6,2050.18,2056.12,8631.89
36874,2057,2059.27,2046.94,2051.08,6874.51
36875,2052.79,2055.61,2036.88,2039.36,7922.51
36878,2038.45,2044.56,2024.29,2044.55,9212.17
36879,2047.35,2056.76,2046.03,2049.03,10994.98
36880,2050.07,2071.31,2048.64,2071.27,11135.32
36881,2075.56,2086.94,2074.34,2076.89,12452.92
36882,2078.43,2079.97,2066.22,2069.77,12617.51
36885,2071.57,2075.21,2062.04,2068.17,11965.24
36886,2070.38,2076.41,2068.81,2076.27,10872.51
36887,2077.72,2079.76,2056,2058.24,11810.7
36888,2054.52,2061.05,2047.74,2053.7,11352.37
36889,2055.83,2073.88,2055.5,2073.48,11666.4
36893,2077.08,2103.54,2074.88,2103.47,13405.1
36894,2108.25,2123.9,2105.5,2123.9,17516.83
36895,2125.49,2127.42,2113.18,2117.41,14295.25
36896,2117.66,2125.38,2114.06,2125.3,14844.24
36899,2128.6,2131.98,2092.1,2102.06,15887.66
36900,2099.32,2111.1,2082.84,2101.14,11581.77
36901,2102.09,2125.67,2102.07,2125.62,13026.25
36902,2129.61,2131.37,2117.03,2119.14,14615.71
36903,2116.85,2117.73,2100.27,2104.75,11017.29
36906,2097.09,2097.09,2030.29,2032.44,13412.56
36907,2018.3,2045.95,2007.71,2045.89,10405.91
36908,2046.38,2048.7,2031.76,2034.58,6609.48
36909,2033.69,2049.36,2033.58,2043.11,8381.61
36910,2046.58,2067.88,2046.54,2065.61,8601.58
36927,2069.86,2072.55,2005.68,2008.03,7400.3
36928,1999.72,1999.73,1956.18,1995.32,7974.36
36929,1995.6,1998.25,1978.6,1979.94,5171.54
36930,1977.56,1986.9,1926.4,1930.14,7517.26
36931,1935.19,1963.33,1935.19,1956.97,7748.48
36934,1958.66,1961.81,1935.59,1961.22,6524.71
36935,1962.53,1974,1958.99,1963.53,5135.05
36936,1962.74,1966.84,1956.42,1963.2,4177.53
36937,1963.45,1966.92,1944.56,1946.48,4262.38
36938,1942.05,1942.12,1911.87,1941.96,6112.81
36941,1942.58,1969.35,1935.65,1967.55,5220.09
36942,1969.78,1980.39,1947.26,1953.22,6328.31
36943,1948.42,1948.42,1901.21,1909.33,7402.12
36944,1901.99,1922.46,1893.78,1907.26,5184.1
36945,1906.91,1936.63,1906.55,1936.35,5555.91
36948,1940.77,1953.77,1935.55,1953.34,6871.46
36949,1956.27,1962.28,1946.98,1962.04,6572.7
36950,1964.36,1965.02,1950.93,1959.18,6674.84
36951,1959.01,1968.36,1953.72,1965.12,7958.98
36952,1969.06,1987.39,1968.96,1985.11,7911.48
36955,1991.28,1993.81,1979.65,1984.2,7417.4
36956,1986.73,1990.06,1977.11,1990.06,14083.04
36957,1991.28,1996.85,1986.04,1991.18,10411.17
36958,1990.64,2002.25,1989.87,2000.9,9116.28
36959,2003.21,2015.5,1999.48,2011.66,12913.04
36962,2013.31,2015.6,2004.96,2012.55,10696.98
36963,2012.16,2012.77,1992.17,1998.7,10681.3
36964,1996.15,2018.62,1994.94,2018.62,9090.21
36965,2019.73,2027.33,2017.59,2022.6,11542.91
